TIME,ACCELERATION,SEQUENCE
6.103515625e-05,0.9998422140570776,STAY
0.04467892646789551,1.0077347540623651,STAY
0.08565688133239746,0.9839249444923877,STAY
0.12920784950256348,1.020715573713418,STAY
0.17389988899230957,0.9891255206479491,STAY
0.2061479091644287,0.9970553973331194,STAY
0.24196195602416992,1.0003828567507138,STAY
0.287247896194458,1.0051768237036,STAY
0.3321259021759033,1.0308542648252372,STAY
0.37442803382873535,1.0198754500565657,STAY
0.4153268337249756,1.0111576719066862,STAY
0.46181297302246094,1.0076876718262724,STAY
0.501338005065918,1.0161631992145992,STAY
0.5421969890594482,0.9990033308972187,STAY
0.5743858814239502,0.9723481452471079,STAY
0.6117668151855469,0.9855955519355997,STAY
0.6562750339508057,0.9992587501327919,STAY
0.703171968460083,0.9836560303087035,STAY
0.7476599216461182,0.9877576986701729,STAY
0.7797989845275879,1.0094965976659642,STAY
0.8152108192443848,1.0169498605493328,STAY
0.8620820045471191,1.0069167126019392,STAY
0.908905029296875,1.0153594036545792,STAY
0.9538018703460693,1.0089590957788903,STAY
0.9961769580841064,1.0120483215126632,STAY
1.0432538986206055,0.995515722969693,STAY
1.0999939441680908,1.0128478888967647,STAY
1.1364350318908691,1.0306203538316847,STAY
1.1828668117523193,0.9905276193498982,STAY
1.2293248176574707,0.9947075566922203,STAY
1.2720789909362793,1.0155647259946712,STAY
1.3111498355865479,1.0045145766974557,STAY
1.3474879264831543,0.9988304988518092,STAY
1.3841228485107422,1.0085456901700656,STAY
1.4162428379058838,1.0001000711914563,STAY
1.4527418613433838,0.9919870128973559,STAY
1.4893388748168945,1.0068000024844788,STAY
1.5216948986053467,0.990840207378989,STAY
1.5579438209533691,0.9945799450815949,STAY
1.5944368839263916,1.0200166387229361,STAY
1.6267919540405273,1.0111674865236024,STAY
1.6631579399108887,1.031817049124023,STAY
1.6994779109954834,1.0018679934022838,STAY
1.7355690002441406,1.0026819801685103,STAY
1.767920970916748,1.0163029095529341,STAY
1.8042418956756592,1.0088328142455227,STAY
1.839798927307129,0.9866634894064273,STAY
1.8727898597717285,1.0129612248918058,STAY
1.9112699031829834,1.0039612573181453,STAY
1.9448399543762207,0.9751882725894535,STAY
1.9782919883728027,0.9695702740902196,STAY
2.016657829284668,1.011444732202658,STAY
2.05023193359375,1.0116509963513005,STAY
2.0838658809661865,1.0107142052946487,STAY
2.1222128868103027,1.0056712743189777,STAY
2.1558070182800293,1.0118579547805961,STAY
2.189448833465576,1.0095666508563017,STAY
2.228233814239502,0.9873424488849281,STAY
2.2618048191070557,1.0069518147487493,STAY
2.2955729961395264,1.0239675183173687,STAY
2.3332698345184326,1.0121055364443956,STAY
2.366752862930298,0.9964295064489116,STAY
2.4004979133605957,1.0053450371217405,STAY
2.4388389587402344,1.017540929191377,STAY
2.472622871398926,1.005096857613185,STAY
2.5062038898468018,1.0300708445008548,STAY
2.5445609092712402,0.9996193518966199,STAY
2.5827648639678955,1.0233604751605463,STAY
2.6164050102233887,0.985434098657431,STAY
2.65488600730896,0.9755563053675179,STAY
2.692943811416626,1.009318033033967,STAY
